geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	66.02688198	33.83160199	2	AFG	Afghanistan	63.4	Float		FAO estimates	E
4	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	66.02688198	33.83160199	2	AFG	Afghanistan	63.4	Float		FAO estimates	E
8	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	20.06660928	41.13897007	6	ALB	Albania	74.1	Float		FAO estimates	E
8	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	20.06660928	41.13897007	6	ALB	Albania	75.3	Float		FAO estimates	E
10	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	2.678164227	28.15940032	66	DZA	Algeria	65.45	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
12	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	2.678164227	28.15940032	66	DZA	Algeria	66.75	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
16	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	-170.7187269	-14.30587306	12	ASM	American Samoa	3.132	Float		FAO estimates	E
16	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	-170.7187269	-14.30587306	12	ASM	American Samoa	3.115	Float		FAO estimates	E
20	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	1.576257417	42.54548611	7	AND	Andorra					
20	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	1.576257417	42.54548611	7	AND	Andorra					
24	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	17.57817062	-12.33724746	3	AGO	Angola	7524	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
24	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	17.57817062	-12.33724746	3	AGO	Angola	7443	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
28	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
28	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda					
31	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	50.01064725	40.39229544	19	AZE	Azerbaijan					
31	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	50.01064725	40.39229544	19	AZE	Azerbaijan					
32	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	-65.14563274	-35.19446255	10	ARG	Argentina	5150	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
32	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	-65.14563274	-35.19446255	10	ARG	Argentina	4953	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
36	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	134.3499412	-25.57717202	17	AUS	Australia	11146	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
36	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	134.3499412	-25.57717202	17	AUS	Australia					
40	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	14.14172472	47.58704857	18	AUT	Austria	628	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
40	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	14.14172472	47.58704857	18	AUT	Austria	639	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
44	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	-78.05111663	24.69546597	27	BHS	Bahamas					
44	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	-78.05111663	24.69546597	27	BHS	Bahamas					
48	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	50.5490754	26.04407747	26	BHR	Bahrain					
48	2015	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	50.5490754	26.04407747	26	BHR	Bahrain					
50	2010	ANNUAL	METONS	1	2017.Q2.G.01	AG_LND_FRSTBIOM	Above-ground biomass in forest	89.17660788	22.86961622	24	BGD	Bangladesh	171	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
